Date,Time,Temperature,Humidity
2018-01-01,12:00:00 AM,75.0,85.0
2018-01-01,12:01:26 AM,75.0,85.1
2018-01-01,12:02:53 AM,75.0,85.0
2018-01-01,12:04:19 AM,75.0,84.9
2018-01-01,12:05:46 AM,75.1,84.9
2018-01-01,12:07:12 AM,75.1,85.0
2018-01-01,12:08:38 AM,75.2,85.0
2018-01-01,12:10:05 AM,75.3,84.9
2018-01-01,12:11:31 AM,75.3,85.0
2018-01-01,12:12:58 AM,75.4,84.9
2018-01-01,12:14:24 AM,75.3,84.9
2018-01-01,12:15:50 AM,75.4,84.9
2018-01-01,12:17:17 AM,75.3,84.9
2018-01-01,12:18:43 AM,75.3,84.8
2018-01-01,12:20:10 AM,75.3,84.7
2018-01-01,12:21:36 AM,75.2,84.8
2018-01-01,12:23:02 AM,75.3,84.7
2018-01-01,12:24:29 AM,75.3,84.7
2018-01-01,12:25:55 AM,75.4,84.8
2018-01-01,12:27:22 AM,75.5,84.8
2018-01-01,12:28:48 AM,75.6,84.9
2018-01-01,12:30:14 AM,75.5,85.0
2018-01-01,12:31:41 AM,75.4,85.0
2018-01-01,12:33:07 AM,75.5,84.9
2018-01-01,12:34:34 AM,75.6,84.9
2018-01-01,12:36:00 AM,75.5,84.9
2018-01-01,12:37:26 AM,75.6,85.0
2018-01-01,12:38:53 AM,75.6,85.1
2018-01-01,12:40:19 AM,75.7,85.1
2018-01-01,12:41:46 AM,75.7,85.2
2018-01-01,12:43:12 AM,75.7,85.2
2018-01-01,12:44:38 AM,75.6,85.2
2018-01-01,12:46:05 AM,75.6,85.3
2018-01-01,12:47:31 AM,75.6,85.2
2018-01-01,12:48:58 AM,75.6,85.3
2018-01-01,12:50:24 AM,75.7,85.2
2018-01-01,12:51:50 AM,75.7,85.1
2018-01-01,12:53:17 AM,75.8,85.0
2018-01-01,12:54:43 AM,75.8,85.0
2018-01-01,12:56:10 AM,75.8,84.9
2018-01-01,12:57:36 AM,75.7,84.8
2018-01-01,12:59:02 AM,75.6,84.7
2018-01-01,01:00:29 AM,75.6,84.6
2018-01-01,01:01:55 AM,75.6,84.6
2018-01-01,01:03:22 AM,75.6,84.6
2018-01-01,01:04:48 AM,75.7,84.6
2018-01-01,01:06:14 AM,75.8,84.6
2018-01-01,01:07:41 AM,75.8,84.7
2018-01-01,01:09:07 AM,75.8,84.7
2018-01-01,01:10:34 AM,75.9,84.7
2018-01-01,01:12:00 AM,76.0,84.7
2018-01-01,01:13:26 AM,76.0,84.7
2018-01-01,01:14:53 AM,75.9,84.7
2018-01-01,01:16:19 AM,76.0,84.8
2018-01-01,01:17:46 AM,76.0,84.8
2018-01-01,01:19:12 AM,75.9,84.8
2018-01-01,01:20:38 AM,75.9,84.9
2018-01-01,01:22:05 AM,75.8,84.9
2018-01-01,01:23:31 AM,75.7,84.8
2018-01-01,01:24:58 AM,75.8,84.7
2018-01-01,01:26:24 AM,75.8,84.7
2018-01-01,01:27:50 AM,75.8,84.7
2018-01-01,01:29:17 AM,75.7,84.6
2018-01-01,01:30:43 AM,75.8,84.5
2018-01-01,01:32:10 AM,75.8,84.4
2018-01-01,01:33:36 AM,75.8,84.4
2018-01-01,01:35:02 AM,75.8,84.4
2018-01-01,01:36:29 AM,75.8,84.5
2018-01-01,01:37:55 AM,75.8,84.5
2018-01-01,01:39:22 AM,75.8,84.5
2018-01-01,01:40:48 AM,75.9,84.6
2018-01-01,01:42:14 AM,75.9,84.7
2018-01-01,01:43:41 AM,75.9,84.8
2018-01-01,01:45:07 AM,75.9,84.8
2018-01-01,01:46:34 AM,75.9,84.8
2018-01-01,01:48:00 AM,75.9,84.8
2018-01-01,01:49:26 AM,75.9,84.8
2018-01-01,01:50:53 AM,75.8,84.9
2018-01-01,01:52:19 AM,75.8,84.9
2018-01-01,01:53:46 AM,75.9,84.9
2018-01-01,01:55:12 AM,75.9,84.9
2018-01-01,01:56:38 AM,75.9,84.9
2018-01-01,01:58:05 AM,75.9,84.8
2018-01-01,01:59:31 AM,75.9,84.8
2018-01-01,02:00:58 AM,76.0,84.8
2018-01-01,02:02:24 AM,76.1,84.9
2018-01-01,02:03:50 AM,76.2,84.8
2018-01-01,02:05:17 AM,76.3,84.8
2018-01-01,02:06:43 AM,76.4,84.7
2018-01-01,02:08:10 AM,76.5,84.7
2018-01-01,02:09:36 AM,76.4,84.7
2018-01-01,02:11:02 AM,76.4,84.7
2018-01-01,02:12:29 AM,76.3,84.7
2018-01-01,02:13:55 AM,76.4,84.6
2018-01-01,02:15:22 AM,76.3,84.6
2018-01-01,02:16:48 AM,76.3,84.5
2018-01-01,02:18:14 AM,76.3,84.5
2018-01-01,02:19:41 AM,76.4,84.4
2018-01-01,02:21:07 AM,76.3,84.4
2018-01-01,02:22:34 AM,76.2,84.3
2018-01-01,02:24:00 AM,76.2,84.3
2018-01-01,02:25:26 AM,76.2,84.3
2018-01-01,02:26:53 AM,76.2,84.2
2018-01-01,02:28:19 AM,76.2,84.2
2018-01-01,02:29:46 AM,76.2,84.2
2018-01-01,02:31:12 AM,76.1,84.2
2018-01-01,02:32:38 AM,76.0,84.2
2018-01-01,02:34:05 AM,75.9,84.2
2018-01-01,02:35:31 AM,76.0,84.3
2018-01-01,02:36:58 AM,76.1,84.4
2018-01-01,02:38:24 AM,76.1,84.5
2018-01-01,02:39:50 AM,76.2,84.5
2018-01-01,02:41:17 AM,76.2,84.5
2018-01-01,02:42:43 AM,76.2,84.5
2018-01-01,02:44:10 AM,76.3,84.6
2018-01-01,02:45:36 AM,76.4,84.5
2018-01-01,02:47:02 AM,76.5,84.6
2018-01-01,02:48:29 AM,76.5,84.5
2018-01-01,02:49:55 AM,76.6,84.4
2018-01-01,02:51:22 AM,76.5,84.5
2018-01-01,02:52:48 AM,76.5,84.5
2018-01-01,02:54:14 AM,76.5,84.6
2018-01-01,02:55:41 AM,76.4,84.6
2018-01-01,02:57:07 AM,76.4,84.5
2018-01-01,02:58:34 AM,76.5,84.4
2018-01-01,03:00:00 AM,76.5,84.4
2018-01-01,03:01:26 AM,76.6,84.4
2018-01-01,03:02:53 AM,76.6,84.3
2018-01-01,03:04:19 AM,76.6,84.4
2018-01-01,03:05:46 AM,76.5,84.5
2018-01-01,03:07:12 AM,76.6,84.5
2018-01-01,03:08:38 AM,76.6,84.5
2018-01-01,03:10:05 AM,76.7,84.5
2018-01-01,03:11:31 AM,76.6,84.5
2018-01-01,03:12:58 AM,76.6,84.4
2018-01-01,03:14:24 AM,76.7,84.5
2018-01-01,03:15:50 AM,76.7,84.6
2018-01-01,03:17:17 AM,76.6,84.7
2018-01-01,03:18:43 AM,76.6,84.6
2018-01-01,03:20:10 AM,76.7,84.5
2018-01-01,03:21:36 AM,76.7,84.6
2018-01-01,03:23:02 AM,76.8,84.7
2018-01-01,03:24:29 AM,76.8,84.7
2018-01-01,03:25:55 AM,76.8,84.7
2018-01-01,03:27:22 AM,76.7,84.7
2018-01-01,03:28:48 AM,76.7,84.6
2018-01-01,03:30:14 AM,76.7,84.5
2018-01-01,03:31:41 AM,76.7,84.4
2018-01-01,03:33:07 AM,76.6,84.3
2018-01-01,03:34:34 AM,76.6,84.2
2018-01-01,03:36:00 AM,76.6,84.2
2018-01-01,03:37:26 AM,76.6,84.3
2018-01-01,03:38:53 AM,76.7,84.2
2018-01-01,03:40:19 AM,76.7,84.1
2018-01-01,03:41:46 AM,76.6,84.0
2018-01-01,03:43:12 AM,76.7,83.9
2018-01-01,03:44:38 AM,76.6,84.0
